Algorithm,Dataset,Duration(ms)
BruteForce,1,1.42952
BruteForceBacktrack,1,0.078381
DynamicProgramming,1,1.72655
DynammicProgramming1D,1,0.702692
Greedy,1,0.075463
BruteForce,2,60.2152
BruteForceBacktrack,2,0.1517
DynamicProgramming,2,1.68345
DynammicProgramming1D,2,0.629273
Greedy,2,0.065594
BruteForce,3,2.27882
BruteForceBacktrack,3,0.061449
DynamicProgramming,3,1.22656
DynammicProgramming1D,3,0.662713
Greedy,3,0.041766
BruteForceBacktrack,4,614.554
DynamicProgramming,4,24.2618
DynammicProgramming1D,4,9.13294
Greedy,4,0.089962
LinearIntegerProgramming,1,2.21322
LinearIntegerProgramming,2,1.94201
LinearIntegerProgramming,3,2.80226
LinearIntegerProgramming,4,1.95512
LinearIntegerProgramming,6,2.35091
LinearIntegerProgramming,8,1.92237
LinearIntegerProgramming,1,1.70969
LinearIntegerProgramming,8,2.22612
LinearIntegerProgramming,1,2.07138
